,condition_in,intake_type,outcome_detail,outcome_type,breed
1765,Sick,Wildlife,Rabies Risk,Euthanasia,Fox Mix
1766,Injured,Stray,In Kennel,Died,Rat Mix
1767,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1768,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1769,Injured,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1770,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1771,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1772,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1773,Sick,Wildlife,Rabies Risk,Euthanasia,Skunk Mix
1774,Injured,Wildlife,Suffering,Euthanasia,Rabbit Sh Mix
1775,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
1776,Normal,Stray,None,Relocate,Chicken
1777,Normal,Wildlife,Rabies Risk,Euthanasia,Skunk Mix
1778,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1779,Injured,Wildlife,Suffering,Euthanasia,Opossum Mix
1780,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1781,Normal,Wildlife,Rabies Risk,Euthanasia,Opossum
1782,Normal,Wildlife,Underage,Euthanasia,Opossum
1783,Normal,Wildlife,Underage,Euthanasia,Opossum
1784,Normal,Wildlife,Underage,Euthanasia,Opossum
1785,Normal,Wildlife,Underage,Euthanasia,Opossum
1786,Normal,Wildlife,Underage,Euthanasia,Opossum
1787,Normal,Wildlife,Underage,Euthanasia,Opossum
1788,Normal,Stray,None,Adoption,Chicken
1789,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
1790,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1791,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1792,Normal,Stray,None,Return to Owner,Ferret Mix
1793,Normal,Stray,Partner,Transfer,Bunting
1794,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1795,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1796,Normal,Wildlife,Rabies Risk,Euthanasia,Raccoon
1797,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1798,Other,Wildlife,Partner,Transfer,Mockingbird
1799,Other,Wildlife,Partner,Transfer,Sparrow
1800,Injured,Wildlife,Suffering,Euthanasia,Squirrel
1801,Injured,Wildlife,Medical,Euthanasia,Squirrel
1802,Normal,Stray,Rabies Risk,Euthanasia,Raccoon Mix
1803,Injured,Stray,Suffering,Euthanasia,Chicken Mix
1804,Injured,Wildlife,Suffering,Euthanasia,Squirrel Mix
1805,Normal,Owner Surrender,Partner,Transfer,Guinea Pig Mix
1806,Normal,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1807,Normal,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1808,Normal,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1809,Normal,Stray,None,Adoption,Duck Mix
1810,Normal,Stray,Rabies Risk,Euthanasia,Bat
1811,Normal,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1812,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1813,Nursing,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1814,Nursing,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1815,Nursing,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1816,Nursing,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1817,Normal,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1818,Normal,Stray,Suffering,Euthanasia,Dove
1819,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1820,Injured,Wildlife,Suffering,Euthanasia,Squirrel
1821,Normal,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1822,Normal,Wildlife,Rabies Risk,Euthanasia,Raccoon
1823,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1824,Normal,Wildlife,Rabies Risk,Euthanasia,Skunk
1825,Normal,Wildlife,Rabies Risk,Euthanasia,Skunk
1826,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1827,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1828,Sick,Wildlife,Rabies Risk,Euthanasia,Skunk
1829,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1830,Normal,Stray,Rabies Risk,Euthanasia,Bat
1831,Aged,Euthanasia Request,Suffering,Euthanasia,Hamster Mix
1832,Sick,Wildlife,Medical,Euthanasia,Raccoon
1833,Normal,Stray,Partner,Transfer,Guinea Pig
1834,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1835,Injured,Wildlife,None,Relocate,Opossum Mix
1836,Normal,Public Assist,Rabies Risk,Euthanasia,Bat
1837,Injured,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1838,Injured,Wildlife,Rabies Risk,Euthanasia,Skunk Mix
1839,Injured,Wildlife,Suffering,Euthanasia,Turtle Mix
1840,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1841,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
1842,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1843,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1844,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1845,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1846,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1847,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1848,Injured,Wildlife,Suffering,Euthanasia,Squirrel Mix
1849,Normal,Stray,In Kennel,Died,Rex Mix
1850,Normal,Owner Surrender,None,Adoption,Turtle Mix
1851,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1852,Normal,Public Assist,Partner,Transfer,Rabbit Sh
1853,Normal,Public Assist,Partner,Transfer,Parakeet
1854,Normal,Public Assist,Partner,Transfer,Parakeet
1855,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1856,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1857,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1858,Nursing,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1859,Nursing,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1860,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1861,Injured,Public Assist,Rabies Risk,Euthanasia,Bat Mix
1862,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1863,Injured,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1864,Sick,Owner Surrender,Partner,Transfer,Rat Mix
1865,Sick,Owner Surrender,Partner,Transfer,Rat Mix
1866,Normal,Wildlife,None,Died,Bat
1867,Normal,Wildlife,None,Died,Bat
1868,Normal,Stray,Partner,Transfer,Lop-English Mix
1869,Normal,Stray,None,Return to Owner,Snake Mix
1870,Normal,Stray,Partner,Transfer,Rabbit Sh
1871,Normal,Wildlife,Partner,Transfer,Opossum Mix
1872,Normal,Wildlife,Partner,Transfer,Opossum Mix
1873,Normal,Wildlife,Partner,Transfer,Opossum Mix
1874,Normal,Wildlife,Partner,Transfer,Opossum Mix
1875,Normal,Wildlife,Partner,Transfer,Opossum Mix
1876,Normal,Wildlife,Partner,Transfer,Opossum
1877,Normal,Wildlife,Partner,Transfer,Opossum
1878,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1879,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1880,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1881,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1882,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1883,Normal,Stray,Partner,Transfer,Dutch
1884,Injured,Wildlife,Suffering,Euthanasia,Squirrel Mix
1885,Injured,Wildlife,Suffering,Euthanasia,Squirrel
1886,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1887,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1888,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1889,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1890,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1891,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1892,Normal,Stray,Partner,Transfer,Rabbit Sh
1893,Sick,Wildlife,None,Died,Raccoon
1894,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1895,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1896,Injured,Wildlife,Rabies Risk,Euthanasia,Squirrel
1897,Injured,Wildlife,Suffering,Euthanasia,Raccoon
1898,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1899,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1900,Injured,Stray,Suffering,Euthanasia,Squirrel Mix
1901,Normal,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1902,Injured,Wildlife,In Kennel,Died,Opossum Mix
1903,Normal,Wildlife,Partner,Transfer,Cottontail Mix
1904,Injured,Stray,Suffering,Euthanasia,Opossum Mix
1905,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
1906,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1907,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1908,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1909,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
1910,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1911,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon
1912,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1913,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1914,Sick,Wildlife,Rabies Risk,Euthanasia,Skunk Mix
1915,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon
1916,Injured,Wildlife,Rabies Risk,Euthanasia,Opossum Mix
1917,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1918,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1919,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1920,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1921,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1922,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1923,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1924,Normal,Owner Surrender,Partner,Transfer,Guinea Pig Mix
1925,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1926,Sick,Stray,Rabies Risk,Euthanasia,Bat
1927,Normal,Stray,Partner,Transfer,Chicken
1928,Sick,Wildlife,Medical,Euthanasia,Raccoon
1929,Sick,Wildlife,Rabies Risk,Euthanasia,Skunk
1930,Normal,Public Assist,Partner,Transfer,Californian
1931,Normal,Public Assist,None,Adoption,Pigeon
1932,Normal,Public Assist,None,Adoption,Pigeon
1933,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon
1934,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
1935,Normal,Public Assist,Rabies Risk,Euthanasia,Bat
1936,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1937,Normal,Owner Surrender,Partner,Transfer,Tarantula
1938,Normal,Owner Surrender,None,Adoption,Turtle
1939,Normal,Owner Surrender,None,Adoption,Turtle
1940,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
1941,Injured,Wildlife,Suffering,Euthanasia,Raccoon
1942,Normal,Stray,Partner,Transfer,New Zealand Wht Mix
1943,Sick,Wildlife,Rabies Risk,Euthanasia,Skunk
1944,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1945,Injured,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1946,Injured,Wildlife,Suffering,Euthanasia,Squirrel Mix
1947,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
1948,Injured,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1949,Normal,Wildlife,Suffering,Euthanasia,Bat Mix
1950,Normal,Stray,Partner,Transfer,Snake
1951,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1952,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1953,Normal,Public Assist,Partner,Transfer,Snake
1954,Normal,Public Assist,Partner,Transfer,Frog
1955,Normal,Public Assist,Partner,Transfer,Tarantula
1956,Normal,Public Assist,Partner,Transfer,Tarantula
1957,Normal,Public Assist,Partner,Transfer,Tarantula
1958,Normal,Public Assist,Partner,Transfer,Tarantula
1959,Normal,Public Assist,Partner,Transfer,Tarantula
1960,Sick,Wildlife,Medical,Euthanasia,Raccoon
1961,Normal,Wildlife,Partner,Transfer,Opossum
1962,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1963,Normal,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1964,Normal,Public Assist,None,Disposal,Snake/Snake
1965,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1966,Normal,Stray,None,Return to Owner,Ferret
1967,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1968,Injured,Wildlife,Rabies Risk,Euthanasia,Skunk Mix
1969,Normal,Wildlife,None,Died,Bat
1970,Injured,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1971,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
1972,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
1973,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
1974,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1975,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1976,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1977,Sick,Wildlife,Suffering,Euthanasia,Raccoon
1978,Injured,Wildlife,Medical,Euthanasia,Raccoon
1979,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1980,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1981,Injured,Wildlife,Suffering,Euthanasia,Opossum Mix
1982,Sick,Wildlife,Suffering,Euthanasia,Opossum
1983,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1984,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1985,Injured,Wildlife,Suffering,Euthanasia,Grackle
1986,Injured,Wildlife,Suffering,Euthanasia,Rabbit Sh
1987,Sick,Wildlife,Rabies Risk,Euthanasia,Coyote Mix
1988,Injured,Wildlife,Medical,Euthanasia,Raccoon Mix
1989,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1990,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1991,Normal,Wildlife,None,Disposal,Bat
1992,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1993,Normal,Wildlife,None,Disposal,Bat
1994,Normal,Wildlife,None,Disposal,Bat Mix
1995,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1996,Injured,Wildlife,Rabies Risk,Euthanasia,Skunk
1997,Normal,Owner Surrender,None,Return to Owner,Hamster
1998,Normal,Owner Surrender,Partner,Transfer,Hamster
1999,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
2000,Normal,Public Assist,Rabies Risk,Euthanasia,Bat Mix
2001,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
2002,Normal,Wildlife,None,Disposal,Bat
2003,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
2004,Normal,Wildlife,Enroute,Died,Bat
2005,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
2006,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
2007,Sick,Wildlife,Medical,Euthanasia,Raccoon Mix
2008,Sick,Wildlife,None,Disposal,Bat
2009,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon
2010,Normal,Owner Surrender,Partner,Transfer,Rabbit Sh
2011,Normal,Owner Surrender,Partner,Transfer,Rabbit Sh
2012,Normal,Owner Surrender,Partner,Transfer,Lionhead Mix
2013,Normal,Owner Surrender,Partner,Transfer,Lionhead
2014,Normal,Owner Surrender,Partner,Transfer,Lionhead
2015,Normal,Owner Surrender,Partner,Transfer,Lionhead
2016,Normal,Owner Surrender,Partner,Transfer,Rabbit Sh
2017,Normal,Owner Surrender,Partner,Transfer,Rabbit Sh
2018,Normal,Owner Surrender,Partner,Transfer,Rabbit Sh
2019,Normal,Stray,Partner,Transfer,Guinea Pig Mix
2020,Normal,Stray,Partner,Transfer,Guinea Pig Mix
2021,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
2022,Injured,Wildlife,Medical,Euthanasia,Opossum Mix
2023,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
2024,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
2025,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
2026,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
2027,Injured,Wildlife,Suffering,Euthanasia,Rabbit Sh Mix
2028,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
2029,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
2030,Normal,Wildlife,None,Disposal,Bat Mix
2031,Normal,Stray,Partner,Transfer,Hamster Mix
2032,Normal,Stray,Partner,Transfer,Hamster Mix
2033,Normal,Wildlife,None,Disposal,Bat
2034,Sick,Wildlife,Medical,Euthanasia,Raccoon Mix
2035,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
2036,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
2037,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
2038,Injured,Wildlife,Suffering,Euthanasia,Fox Mix
2039,Normal,Stray,Partner,Transfer,Californian Mix
2040,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
2041,Injured,Wildlife,Medical,Euthanasia,Opossum Mix
2042,Normal,Wildlife,None,Disposal,Bat
2043,Normal,Stray,Partner,Transfer,Raccoon Mix
2044,Normal,Public Assist,Rabies Risk,Euthanasia,Bat
2045,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
2046,Injured,Wildlife,Suffering,Euthanasia,Opossum Mix
2047,Sick,Wildlife,Rabies Risk,Euthanasia,Skunk Mix
2048,Normal,Owner Surrender,Partner,Transfer,Guinea Pig Mix
2049,Normal,Owner Surrender,Partner,Transfer,Guinea Pig
2050,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
2051,Normal,Stray,Partner,Transfer,Hamster
2052,Normal,Stray,Partner,Transfer,Hamster
2053,Normal,Stray,Partner,Transfer,Hamster
2054,Injured,Wildlife,Suffering,Euthanasia,Armadillo
2055,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
2056,Injured,Wildlife,Rabies Risk,Euthanasia,Raccoon
2057,Normal,Wildlife,Enroute,Died,Bat
2058,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
2059,Injured,Stray,Partner,Transfer,Ringtail Mix
2060,Normal,Stray,Partner,Transfer,Turtle Mix
2061,Normal,Stray,Partner,Transfer,Turtle Mix
2062,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
2063,Normal,Owner Surrender,Partner,Transfer,Rabbit Sh Mix
2064,Normal,Owner Surrender,Partner,Transfer,Rabbit Sh Mix
2065,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
2066,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
2067,Normal,Stray,Partner,Transfer,Lop-English Mix
2068,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
2069,Injured,Wildlife,Suffering,Euthanasia,Squirrel Mix
2070,Normal,Wildlife,None,Died,Bat
2071,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
2072,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
2073,Normal,Public Assist,Rabies Risk,Euthanasia,Bat
2074,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
2075,Injured,Wildlife,Medical,Euthanasia,Owl Mix
2076,Injured,Wildlife,Suffering,Euthanasia,Squirrel Mix
2077,Injured,Stray,Foster,Adoption,Chicken Mix
2078,Injured,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
2079,Normal,Stray,None,Disposal,Bat Mix
2080,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
2081,Injured,Stray,Medical,Euthanasia,Squirrel Mix
2082,Injured,Wildlife,Rabies Risk,Euthanasia,Bat Mix
2083,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
2084,Normal,Stray,None,Disposal,Bat Mix
2085,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
2086,Injured,Wildlife,Rabies Risk,Euthanasia,Opossum Mix
2087,Injured,Wildlife,None,Euthanasia,Squirrel Mix
2088,Normal,Wildlife,None,Disposal,Bat
2089,Normal,Stray,Rabies Risk,Euthanasia,Opossum Mix
2090,Sick,Wildlife,None,Disposal,Bat Mix
2091,Injured,Wildlife,Rabies Risk,Euthanasia,Squirrel Mix
2092,Normal,Wildlife,In Kennel,Died,Bat
2093,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
2094,Normal,Public Assist,None,Adoption,Rat Mix
2095,Injured,Stray,Suffering,Euthanasia,Rabbit Sh Mix
2096,Sick,Wildlife,Suffering,Euthanasia,Squirrel Mix
2097,Injured,Wildlife,Suffering,Euthanasia,Squirrel Mix
2098,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
2099,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
2100,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
2101,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
2102,Normal,Stray,None,Adoption,Conure Mix
2103,Normal,Wildlife,None,Disposal,Bat
2104,Sick,Stray,Rabies Risk,Euthanasia,Raccoon Mix
2105,Sick,Stray,Rabies Risk,Euthanasia,Bat
2106,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
2107,Injured,Wildlife,Suffering,Euthanasia,Fox Mix
2108,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
2109,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon
2110,Injured,Wildlife,None,Euthanasia,Sparrow Mix
2111,Normal,Public Assist,Rabies Risk,Euthanasia,Bat
2112,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
2113,Normal,Wildlife,In Kennel,Died,Bat
2114,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
2115,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
2116,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
2117,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
2118,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
2119,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
2120,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon
2121,Sick,Wildlife,Rabies Risk,Euthanasia,Skunk Mix
2122,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
2123,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
2124,Normal,Public Assist,Rabies Risk,Euthanasia,Raccoon
2125,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon
2126,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
2127,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon
2128,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
2129,Normal,Wildlife,None,Euthanasia,Bat
2130,Injured,Wildlife,Suffering,Euthanasia,Rabbit Sh Mix
2131,Sick,Wildlife,Rabies Risk,Euthanasia,Bat
2132,Injured,Wildlife,None,Euthanasia,Squirrel Mix
2133,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
